aggregator,attack,round,num_honest,num_attackers,dim,byzantine_fraction,clip_radius,seed,distance_from_true_value,asr
krum,persistent_sybil,11,9,1,3,0.2,1.0,1001,0.28739387,0.0033862637
krum,persistent_sybil,12,9,1,3,0.2,1.0,1001,0.27972367,0.0032958884
krum,persistent_sybil,13,9,1,3,0.2,1.0,1001,0.23782703,0.0028022346
krum,persistent_sybil,14,9,1,3,0.2,1.0,1001,0.18068449,0.0021289436
krum,persistent_sybil,15,9,1,3,0.2,1.0,1001,0.2265616,0.002669498
krum,persistent_sybil,16,9,1,3,0.2,1.0,1001,0.40057808,0.004719875
krum,persistent_sybil,17,9,1,3,0.2,1.0,1001,0.21019493,0.002476655
krum,persistent_sybil,18,9,1,3,0.2,1.0,1001,0.28859493,0.0034004154
krum,persistent_sybil,19,9,1,3,0.2,1.0,1001,0.36760324,0.0043313433
krum,persistent_sybil,0,9,1,3,0.2,1.0,2001,0.29126975,0.0034319318
krum,persistent_sybil,1,9,1,3,0.2,1.0,2001,0.3292758,0.003879744
krum,persistent_sybil,2,9,1,3,0.2,1.0,2001,0.3012571,0.0035496096
krum,persistent_sybil,3,9,1,3,0.2,1.0,2001,0.16976169,0.0020002439
krum,persistent_sybil,4,9,1,3,0.2,1.0,2001,0.36148393,0.0042592417
krum,persistent_sybil,5,9,1,3,0.2,1.0,2001,0.3990603,0.004701991
krum,persistent_sybil,6,9,1,3,0.2,1.0,2001,0.2913096,0.0034324015
krum,persistent_sybil,7,9,1,3,0.2,1.0,2001,0.2793725,0.0032917508
krum,persistent_sybil,8,9,1,3,0.2,1.0,2001,0.06556032,0.00077247486
krum,persistent_sybil,9,9,1,3,0.2,1.0,2001,0.33082277,0.0038979717
krum,persistent_sybil,10,9,1,3,0.2,1.0,2001,0.20874849,0.0024596122
krum,persistent_sybil,11,9,1,3,0.2,1.0,2001,0.47246543,0.0055668987
krum,persistent_sybil,12,9,1,3,0.2,1.0,2001,0.10289896,0.0012124233
krum,persistent_sybil,13,9,1,3,0.2,1.0,2001,0.27210334,0.0032061008
krum,persistent_sybil,14,9,1,3,0.2,1.0,2001,0.35520282,0.0041852337
krum,persistent_sybil,15,9,1,3,0.2,1.0,2001,0.21052183,0.002480507
krum,persistent_sybil,16,9,1,3,0.2,1.0,2001,0.266199,0.0031365317
krum,persistent_sybil,17,9,1,3,0.2,1.0,2001,0.13482744,0.0015886256
